Symbol,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
SFIX,0.8259,-1.0641,11.2351,74.8056,1.762,0,-0.02,30.15,null
SYBT,null,11.7504,2.5626,19.6691,17.964,84.3063,1.69,39.95,36.35
BANX,null,8.6048,0.9337,12.6899,0.186,18.256,1.8428,22.95,19.98
SSKN,0.5304,-101.9021,0.238,null,2.205,47.6462,-6.939,2.17,2.48
SSYS,2.0574,-3.5251,0.9452,null,14.546,2.8509,-0.75,19,27.71
HNDL,null,null,null,null,null,null,null,24.1,null
STRT,null,null,1.0367,22.83,2.755,null,null,31.95,36.7
STRS,null,3.0039,1.8976,null,9.849,173.9612,0.48,32.5,28.25
STRA,2.2577,10.369,4.782,48.6848,15.1,0,1.93,113.73,92.11
STRM,0.4034,-28.5767,3.4319,null,1.465,45.661,-0.16,1.46,1.06
SBBP,null,null,3.5877,null,6.186,null,-3.11,6.2,5.5
SUMR,0.0181,-15.8035,2.0484,113.2503,1.077,344.6855,-0.12,1.3,1.77
SMMF,null,6.6776,1.6142,13.7236,5.336,156.74,1,27.77,21.47
SSBI,null,null,null,23.3333,0.494,null,0.55,15.462,12.805
SMMT,1.0611,null,null,null,1.019,0,null,12.35,11.49
SNHY,1.3929,12.3983,6.4239,40.685,9.568,48.8138,1.17,49.85,41.79
SNDE,0.0777,-11.9598,null,null,1.398,106.7431,null,5.21,4.85
SNSS,2.5043,-2538.1532,218.9166,null,5.552,1246.3668,-1.45,2.14,2.97
STKL,0.0079,-47.1573,2.7975,200.5071,9.251,192.2741,-1.66,8.4,9.8
SPWR,0.3969,-147.9319,8.2379,null,6.605,1122.9544,-6.11,8.23,8.69
RUN,0.6045,16.7715,0.78,6.899,21.405,130.6871,1.18,13.87,6.65
SUNW,0.2635,-39.1936,1.5525,null,2.934,12.5048,-0.32,1,1.77
SMCI,null,null,1.2735,12.3213,15.365,null,null,24.9,24.25
SPCB,0.0587,-18.6502,1.7858,null,1.804,2.2564,-0.4459,1.74,3.12
SCON,3.6819,-99.1879,2.2914,null,1.411,0,-0.91,0.9768,1.63
SGC,0.1972,12.7566,3.2235,22.0832,3.03,31.1544,1.04,20.8,21.02
SUPN,1.1385,24.9476,7.645,31.4903,8.942,0,1.13,57.05,43.65
SPRT,7.0363,-2.6827,0.8028,null,0.895,0,-0.08,2.97,2.45
SURF,null,null,null,null,null,null,null,16.16,null
SGRY,0.5773,-15.9495,0.8998,36.4626,10.399,334.3789,-1.0996,16.65,22.75
SRDX,4.9307,3.5954,3.2867,90.9351,9.327,0,0.3,55.55,25.2
SIVB,null,12.5411,2.955,24.4333,2.087,41.371,9.33,310.17,174.25
SYKE,1.6912,4.2362,1.6893,19.3641,11.711,34.527,0.77,29.02,33.61
SYMC,0.6857,27.2036,3.4494,42.4537,6.467,99.4066,1.89,20.72,28.81
SYNC,0.4777,-20.8035,1.6414,null,6.551,10.7002,-0.27,2.05,3.55
SYNL,0.0004,1.5047,1.3046,40.0357,4.411,28.889,0.1541,20.75,10.8
SYNA,null,null,1.869,19.0021,14.103,null,null,53.06,59.55
SNDX,8.2272,-64.5258,2.0481,null,6.962,0,-2.9,7.68,13.24
SYNH,0.2771,-8.3313,1.5065,25.6514,6.262,99.5085,-1.85,48.2,59.2
SGYP,3.591,null,12.421,null,14.056,null,-1,1.89,4.59
SYBX,9.6405,null,1.8562,null,8.354,1.0478,-6,10.3,10.85
SNPS,0.6495,4.2209,3.915,37.8694,3.269,4.3957,0.91,88.12,74.59
SYNT,0.9083,null,null,11.021,12.592,null,1.99,32.01,16.44
SES,null,null,2.1027,null,4.84,null,null,3.2,5.12
SYPR,0.3766,-50.3021,1.746,null,1.953,62.9711,-0.53,1.69,1.64
SYRS,5.8043,-74.0238,3.9358,null,9.288,0.0811,-2.13,11.1,16.86
TROW,null,27.0267,4.4158,17.7404,6.691,0,6.07,123,73.2
TTOO,0.8072,-306.9374,110.5295,null,2.913,3112.2388,-1.94,8.48,4
TRHC,0.3756,16.0093,4.4191,null,2.659,27.3443,0.85,61.83,14.62
TCMD,3.0245,8.8427,7.1055,117.5979,23.25,0,0.34,52.55,26.72
TAIT,2.6949,6.0058,0.7901,12.1832,0.045,4.2513,0.13,1.7036,1.6314
TTWO,0.8248,13.8981,8.4079,66.3715,2.81,0.5419,1.57,116.96,73.05
TLND,0.5744,null,null,null,1.522,null,-1.08,58.86,36.35
TNDM,0.3929,null,null,null,4.81,null,-12.87,23.15,8.278
TLF,2.6266,7.863,1.2068,14.9886,2.573,12.3814,0.48,7.7,8.8
TANH,0.3711,4.1622,0.7346,17.2,0.056,12.0862,0.15,2.81,2.56
TAOP,0.1417,18.8878,11.0601,74.5442,0.654,145.2146,0.02,1.46,0.948
TPIV,3.3694,-223.1534,11.3588,null,0.703,0.1367,-1.16,9.98,3.71
TEDU,1.1002,11.3643,3.3146,31.3464,7.587,0,3.25,7.8,18.22
TATT,1.0173,2.7039,1.0489,38.3296,0.053,0,0.27,7.9754,10.5
TAYD,null,null,1.4049,20.3333,2.561,null,null,10.25,13.3
CGBD,null,8.9033,1.1059,12.6038,0.389,73.977,1.59,17.55,18.35
TCPC,null,8.1763,1.0327,9.6111,0.848,83.2866,1.19,14.4,16.48
AMTD,null,14.1812,4.0004,31.1768,3.314,71.1467,1.65,58.39,40.6
PETZ,0.271,1.4948,4.7675,556.213,0.208,24.9332,0.01,4.61,null
TECD,0.1195,4.5819,1.2797,13.4293,5.185,56.0641,3.07,84.92,101
TCCO,3.7838,-33.9644,6.0184,null,0.316,0,-0.78,4.3,4.8
TTGT,1.4015,5.7094,3.1683,54.63,1.986,26.6897,0.25,29.14,10.05
TGLS,0.3508,4.661,2.1293,34.1329,7.974,210.6131,0.16,8.72,9.3
TGEN,0.1921,0.1987,2.0118,609.0684,1.585,0,0,3.56,3.4
TNAV,null,null,2.1552,null,0.916,null,null,6.25,8.3
TLGT,1.1077,-29.9566,4.3314,null,25.303,270.3215,-0.28,3.88,9.25
TELL,2.4527,null,9.6884,null,3.759,0,-1.23,8.79,9.64
TENX,7.6595,-67.938,1.5578,null,2.911,0,-6.27,6.41,11.98
TERP,0.2493,-33.0337,1.1726,null,8.279,238.2729,-4.3943,11.75,12.05
